No,provinsi,UpahMinimum,kecamatan
2,SUMATERA UTARA,2.992.559,SIBIRU-BIRU
2,SUMATERA UTARA,2.992.559,STM HILIR
2,SUMATERA UTARA,2.992.559,BANGUN PURBA
2,SUMATERA UTARA,2.992.559,GALANG
2,SUMATERA UTARA,2.992.559,STM HULU
2,SUMATERA UTARA,2.992.559,PATUMBAK
2,SUMATERA UTARA,2.992.559,DELI TUA
2,SUMATERA UTARA,2.992.559,SUNGGAL
2,SUMATERA UTARA,2.992.559,HAMPARAN PERAK
2,SUMATERA UTARA,2.992.559,LABUHAN DELI
2,SUMATERA UTARA,2.992.559,PERCUT SEI TUAN
2,SUMATERA UTARA,2.992.559,BATANG KUIS
2,SUMATERA UTARA,2.992.559,LUBUK PAKAM
2,SUMATERA UTARA,2.992.559,PAGAR MERBAU
2,SUMATERA UTARA,2.992.559,PANTAI LABU
2,SUMATERA UTARA,2.992.559,BERINGIN
2,SUMATERA UTARA,2.992.559,SIANTAR
2,SUMATERA UTARA,2.992.559,GUNUNG MALELA
2,SUMATERA UTARA,2.992.559,GUNUNG MALIGAS
2,SUMATERA UTARA,2.992.559,PANEI
2,SUMATERA UTARA,2.992.559,PANOMBEIAN PANE
2,SUMATERA UTARA,2.992.559,JORLANG HATARAN
2,SUMATERA UTARA,2.992.559,RAYA KAHEAN
2,SUMATERA UTARA,2.992.559,BOSAR MALIGAS
2,SUMATERA UTARA,2.992.559,SIDAMANIK
2,SUMATERA UTARA,2.992.559,PEMATANG SIDAMANIK
2,SUMATERA UTARA,2.992.559,TANAH JAWA
2,SUMATERA UTARA,2.992.559,HATONDUHAN
2,SUMATERA UTARA,2.992.559,DOLOK PANRIBUAN
2,SUMATERA UTARA,2.992.559,PURBA
2,SUMATERA UTARA,2.992.559,HARANGGAOL HORISON
2,SUMATERA UTARA,2.992.559,GIRSANG SIPANGAN BOLON
2,SUMATERA UTARA,2.992.559,DOLOK BATU NANGGAR
2,SUMATERA UTARA,2.992.559,HUTA BAYU RAJA
2,SUMATERA UTARA,2.992.559,JAWA MARAJA BAH JAMBI
2,SUMATERA UTARA,2.992.559,DOLOK PARDAMEAN
2,SUMATERA UTARA,2.992.559,PEMATANG BANDAR
2,SUMATERA UTARA,2.992.559,BANDAR HULUAN
2,SUMATERA UTARA,2.992.559,BANDAR
2,SUMATERA UTARA,2.992.559,BANDAR MASILAM
2,SUMATERA UTARA,2.992.559,SILIMAKUTA
2,SUMATERA UTARA,2.992.559,DOLOK SILAU
2,SUMATERA UTARA,2.992.559,SILOU KAHEAN
2,SUMATERA UTARA,2.992.559,TAPIAN DOLOK
2,SUMATERA UTARA,2.992.559,RAYA
2,SUMATERA UTARA,2.992.559,UJUNG PADANG
2,SUMATERA UTARA,2.992.559,PAMATANG SILIMA HUTA
2,SUMATERA UTARA,2.992.559,DOLOG MASAGAL
2,SUMATERA UTARA,2.992.559,MERANTI
2,SUMATERA UTARA,2.992.559,AIR JOMAN
2,SUMATERA UTARA,2.992.559,TANJUNG BALAI
2,SUMATERA UTARA,2.992.559,SEI KEPAYANG
2,SUMATERA UTARA,2.992.559,SIMPANG EMPAT
2,SUMATERA UTARA,2.992.559,AIR BATU
2,SUMATERA UTARA,2.992.559,PULAU RAKYAT
2,SUMATERA UTARA,2.992.559,BANDAR PULAU
2,SUMATERA UTARA,2.992.559,BUNTU PANE
2,SUMATERA UTARA,2.992.559,BANDAR PASIR MANDOGE
2,SUMATERA UTARA,2.992.559,AEK KUASAN
2,SUMATERA UTARA,2.992.559,KOTA KISARAN BARAT
2,SUMATERA UTARA,2.992.559,KOTA KISARAN TIMUR
2,SUMATERA UTARA,2.992.559,AEK SONGSONGAN
2,SUMATERA UTARA,2.992.559,RAHUNIG
2,SUMATERA UTARA,2.992.559,SEI DADAP
2,SUMATERA UTARA,2.992.559,SEI KEPAYANG BARAT
2,SUMATERA UTARA,2.992.559,SEI KEPAYANG TIMUR
2,SUMATERA UTARA,2.992.559,TINGGI RAJA
2,SUMATERA UTARA,2.992.559,SETIA JANJI
2,SUMATERA UTARA,2.992.559,SILAU LAUT
2,SUMATERA UTARA,2.992.559,RAWANG PANCA ARGA
2,SUMATERA UTARA,2.992.559,PULO BANDRING
2,SUMATERA UTARA,2.992.559,TELUK DALAM
2,SUMATERA UTARA,2.992.559,AEK LEDONG
2,SUMATERA UTARA,2.992.559,RANTAU UTARA
2,SUMATERA UTARA,2.992.559,RANTAU SELATAN
2,SUMATERA UTARA,2.992.559,BILAH BARAT
2,SUMATERA UTARA,2.992.559,BILAH HILIR
2,SUMATERA UTARA,2.992.559,BILAH HULU
2,SUMATERA UTARA,2.992.559,PANGKATAN
2,SUMATERA UTARA,2.992.559,PANAI TENGAH
2,SUMATERA UTARA,2.992.559,PANAI HILIR
2,SUMATERA UTARA,2.992.559,PANAI HULU
2,SUMATERA UTARA,2.992.559,SIDIKALANG
2,SUMATERA UTARA,2.992.559,SUMBUL
2,SUMATERA UTARA,2.992.559,TIGALINGGA
2,SUMATERA UTARA,2.992.559,SIEMPAT NEMPU
2,SUMATERA UTARA,2.992.559,SILIMA PUNGGA PUNGGA
2,SUMATERA UTARA,2.992.559,TANAH PINEM
2,SUMATERA UTARA,2.992.559,SIEMPAT NEMPU HULU
2,SUMATERA UTARA,2.992.559,SIEMPAT NEMPU HILIR
2,SUMATERA UTARA,2.992.559,PEGAGAN HILIR
2,SUMATERA UTARA,2.992.559,PARBULUAN
2,SUMATERA UTARA,2.992.559,LAE PARIRA
2,SUMATERA UTARA,2.992.559,GUNUNG SITEMBER
2,SUMATERA UTARA,2.992.559,BERAMPU
2,SUMATERA UTARA,2.992.559,SILAHISABUNGAN
2,SUMATERA UTARA,2.992.559,SITINJO
2,SUMATERA UTARA,2.992.559,BALIGE
2,SUMATERA UTARA,2.992.559,LAGUBOTI
2,SUMATERA UTARA,2.992.559,SILAEN
2,SUMATERA UTARA,2.992.559,HABINSARAN
2,SUMATERA UTARA,2.992.559,PINTU POHAN MERANTI
2,SUMATERA UTARA,2.992.559,BORBOR
2,SUMATERA UTARA,2.992.559,PORSEA
2,SUMATERA UTARA,2.992.559,AJIBATA
2,SUMATERA UTARA,2.992.559,LUMBAN JULU
2,SUMATERA UTARA,2.992.559,ULUAN
2,SUMATERA UTARA,2.992.559,SIGUMPAR
2,SUMATERA UTARA,2.992.559,SIANTAR NARUMONDA
2,SUMATERA UTARA,2.992.559,NASSAU
2,SUMATERA UTARA,2.992.559,TAMPAHAN
