No,provinsi,UpahMinimum,kecamatan
2,SUMATERA UTARA,2992559,PEMATANG BANDAR
2,SUMATERA UTARA,2992559,BANDAR HULUAN
2,SUMATERA UTARA,2992559,BANDAR
2,SUMATERA UTARA,2992559,BANDAR MASILAM
2,SUMATERA UTARA,2992559,SILIMAKUTA
2,SUMATERA UTARA,2992559,DOLOK SILAU
2,SUMATERA UTARA,2992559,SILOU KAHEAN
2,SUMATERA UTARA,2992559,TAPIAN DOLOK
2,SUMATERA UTARA,2992559,RAYA
2,SUMATERA UTARA,2992559,UJUNG PADANG
2,SUMATERA UTARA,2992559,PAMATANG SILIMA HUTA
2,SUMATERA UTARA,2992559,DOLOG MASAGAL
2,SUMATERA UTARA,2992559,MERANTI
2,SUMATERA UTARA,2992559,AIR JOMAN
2,SUMATERA UTARA,2992559,TANJUNG BALAI
2,SUMATERA UTARA,2992559,SEI KEPAYANG
2,SUMATERA UTARA,2992559,SIMPANG EMPAT
2,SUMATERA UTARA,2992559,AIR BATU
2,SUMATERA UTARA,2992559,PULAU RAKYAT
2,SUMATERA UTARA,2992559,BANDAR PULAU
2,SUMATERA UTARA,2992559,BUNTU PANE
2,SUMATERA UTARA,2992559,BANDAR PASIR MANDOGE
2,SUMATERA UTARA,2992559,AEK KUASAN
2,SUMATERA UTARA,2992559,KOTA KISARAN BARAT
2,SUMATERA UTARA,2992559,KOTA KISARAN TIMUR
2,SUMATERA UTARA,2992559,AEK SONGSONGAN
2,SUMATERA UTARA,2992559,RAHUNIG
2,SUMATERA UTARA,2992559,SEI DADAP
2,SUMATERA UTARA,2992559,SEI KEPAYANG BARAT
2,SUMATERA UTARA,2992559,SEI KEPAYANG TIMUR
2,SUMATERA UTARA,2992559,TINGGI RAJA
2,SUMATERA UTARA,2992559,SETIA JANJI
2,SUMATERA UTARA,2992559,SILAU LAUT
2,SUMATERA UTARA,2992559,RAWANG PANCA ARGA
2,SUMATERA UTARA,2992559,PULO BANDRING
2,SUMATERA UTARA,2992559,TELUK DALAM
2,SUMATERA UTARA,2992559,AEK LEDONG
2,SUMATERA UTARA,2992559,RANTAU UTARA
2,SUMATERA UTARA,2992559,RANTAU SELATAN
2,SUMATERA UTARA,2992559,BILAH BARAT
2,SUMATERA UTARA,2992559,BILAH HILIR
2,SUMATERA UTARA,2992559,BILAH HULU
2,SUMATERA UTARA,2992559,PANGKATAN
2,SUMATERA UTARA,2992559,PANAI TENGAH
2,SUMATERA UTARA,2992559,PANAI HILIR
2,SUMATERA UTARA,2992559,PANAI HULU
2,SUMATERA UTARA,2992559,SIDIKALANG
2,SUMATERA UTARA,2992559,SUMBUL
2,SUMATERA UTARA,2992559,TIGALINGGA
2,SUMATERA UTARA,2992559,SIEMPAT NEMPU
2,SUMATERA UTARA,2992559,SILIMA PUNGGA PUNGGA
2,SUMATERA UTARA,2992559,TANAH PINEM
2,SUMATERA UTARA,2992559,SIEMPAT NEMPU HULU
2,SUMATERA UTARA,2992559,SIEMPAT NEMPU HILIR
2,SUMATERA UTARA,2992559,PEGAGAN HILIR
2,SUMATERA UTARA,2992559,PARBULUAN
2,SUMATERA UTARA,2992559,LAE PARIRA
2,SUMATERA UTARA,2992559,GUNUNG SITEMBER
2,SUMATERA UTARA,2992559,BERAMPU
2,SUMATERA UTARA,2992559,SILAHISABUNGAN
2,SUMATERA UTARA,2992559,SITINJO
2,SUMATERA UTARA,2992559,BALIGE
2,SUMATERA UTARA,2992559,LAGUBOTI
2,SUMATERA UTARA,2992559,SILAEN
2,SUMATERA UTARA,2992559,HABINSARAN
2,SUMATERA UTARA,2992559,PINTU POHAN MERANTI
2,SUMATERA UTARA,2992559,BORBOR
2,SUMATERA UTARA,2992559,PORSEA
2,SUMATERA UTARA,2992559,AJIBATA
2,SUMATERA UTARA,2992559,LUMBAN JULU
2,SUMATERA UTARA,2992559,ULUAN
2,SUMATERA UTARA,2992559,SIGUMPAR
2,SUMATERA UTARA,2992559,SIANTAR NARUMONDA
2,SUMATERA UTARA,2992559,NASSAU
2,SUMATERA UTARA,2992559,TAMPAHAN
2,SUMATERA UTARA,2992559,BONATUA LUNASI
2,SUMATERA UTARA,2992559,PARMAKSIAN
2,SUMATERA UTARA,2992559,PANYABUNGAN
2,SUMATERA UTARA,2992559,PANYABUNGAN UTARA
2,SUMATERA UTARA,2992559,PANYABUNGAN TIMUR
2,SUMATERA UTARA,2992559,PANYABUNGAN SELATAN
2,SUMATERA UTARA,2992559,PANYABUNGAN BARAT
2,SUMATERA UTARA,2992559,SIABU
2,SUMATERA UTARA,2992559,BUKIT MALINTANG
2,SUMATERA UTARA,2992559,KOTANOPAN
2,SUMATERA UTARA,2992559,LEMBAH SORIK MARAPI
2,SUMATERA UTARA,2992559,TAMBANGAN
2,SUMATERA UTARA,2992559,ULU PUNGKUT
2,SUMATERA UTARA,2992559,MUARA SIPONGI
2,SUMATERA UTARA,2992559,BATANG NATAL
2,SUMATERA UTARA,2992559,LINGGA BAYU
2,SUMATERA UTARA,2992559,BATAHAN
2,SUMATERA UTARA,2992559,NATAL
2,SUMATERA UTARA,2992559,MUARA BATANG GADIS
2,SUMATERA UTARA,2992559,RANTO BAEK
2,SUMATERA UTARA,2992559,HUTA BARGOT
2,SUMATERA UTARA,2992559,PUNCAK SORIK MARAPI
2,SUMATERA UTARA,2992559,PAKANTAN
2,SUMATERA UTARA,2992559,SINUNUKAN
2,SUMATERA UTARA,2992559,NAGA JUANG
2,SUMATERA UTARA,2992559,LOLOMATUA
2,SUMATERA UTARA,2992559,GOMO
2,SUMATERA UTARA,2992559,LAHUSA
2,SUMATERA UTARA,2992559,HIBALA
2,SUMATERA UTARA,2992559,PULAU-PULAU BATU
2,SUMATERA UTARA,2992559,TELUK DALAM
2,SUMATERA UTARA,2992559,AMANDRAYA
2,SUMATERA UTARA,2992559,LOLOWAU
2,SUMATERA UTARA,2992559,SUSUA
2,SUMATERA UTARA,2992559,MANIAMOLO
2,SUMATERA UTARA,2992559,HILIMEGAI
2,SUMATERA UTARA,2992559,TOMA
2,SUMATERA UTARA,2992559,MAZINO
2,SUMATERA UTARA,2992559,UMBUNASI
2,SUMATERA UTARA,2992559,ARAMO
2,SUMATERA UTARA,2992559,PULAU-PULAU BATU TIMUR
2,SUMATERA UTARA,2992559,MAZO
2,SUMATERA UTARA,2992559,FANAYAMA
2,SUMATERA UTARA,2992559,ULUNOYO
2,SUMATERA UTARA,2992559,HURUNA
2,SUMATERA UTARA,2992559,O'O'U
2,SUMATERA UTARA,2992559,ONOHAZUMBA
2,SUMATERA UTARA,2992559,HILISALAWA'AHE
2,SUMATERA UTARA,2992559,ULUSUSUA
2,SUMATERA UTARA,2992559,SIDUA'ORI
2,SUMATERA UTARA,2992559,SOMAMBAWA
2,SUMATERA UTARA,2992559,BORONADU
2,SUMATERA UTARA,2992559,SIMUK
2,SUMATERA UTARA,2992559,PULAU-PULAU BATU BARAT
2,SUMATERA UTARA,2992559,PULAU-PULAU BATU UTARA
2,SUMATERA UTARA,2992559,TANAH MASA
2,SUMATERA UTARA,2992559,LUAHAGUNDRE MANIAMOLO
2,SUMATERA UTARA,2992559,ONOLALU
2,SUMATERA UTARA,2992559,ULU IDANOTAE
2,SUMATERA UTARA,2992559,IDANOTAE
2,SUMATERA UTARA,2992559,SITELU TALI URANG JEHE
2,SUMATERA UTARA,2992559,KERAJAAN
2,SUMATERA UTARA,2992559,SALAK
2,SUMATERA UTARA,2992559,SITELU TALI URANG JULU
2,SUMATERA UTARA,2992559,PERGETTENG GETTENG SENGKUT
2,SUMATERA UTARA,2992559,PAGINDAR
2,SUMATERA UTARA,2992559,TINADA
2,SUMATERA UTARA,2992559,SIEMPAT RUBE
2,SUMATERA UTARA,2992559,PARLILITAN
2,SUMATERA UTARA,2992559,POLLUNG
2,SUMATERA UTARA,2992559,BAKTIRAJA
2,SUMATERA UTARA,2992559,PARANGINAN
2,SUMATERA UTARA,2992559,LINTONG NIHUTA
2,SUMATERA UTARA,2992559,DOLOK SANGGUL
2,SUMATERA UTARA,2992559,SIJAMAPOLANG
2,SUMATERA UTARA,2992559,ONAN GANJANG
2,SUMATERA UTARA,2992559,PAKKAT
2,SUMATERA UTARA,2992559,TARABINTANG
2,SUMATERA UTARA,2992559,SIMANINDO
2,SUMATERA UTARA,2992559,ONAN RUNGGU
2,SUMATERA UTARA,2992559,NAINGGOLAN
2,SUMATERA UTARA,2992559,PALIPI
2,SUMATERA UTARA,2992559,HARIAN
2,SUMATERA UTARA,2992559,SIANJAR MULA MULA
2,SUMATERA UTARA,2992559,RONGGUR NIHUTA
2,SUMATERA UTARA,2992559,PANGURURAN
